use evern; 
INSERT INTO roles (nombre) VALUES ('Admin'); 
INSERT INTO roles (nombre) VALUES ('User'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Ornithology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Entomology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Helmitology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Herpetology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Ichthyology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Theriology'); 
INSERT INTO specializacion (nombre_especializacion) VALUES ('Botany'); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'L4nldEm31d@gmail.com', 'Nichole', 'zTUs6n4u5x', 391, 451637888, '2017-03-07', 'Wheeler', '2017-03-07', 'L4nldEm31d', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Vacuouschenko@gmail.com', 'Ellenor', 'VXb7FYwVHq', 241, 159492497, '2017-03-07', 'Ingram', '2017-03-07', 'Vacuouschenko', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'ObeisantCyandye@gmail.com', 'Aarav', 'HPbY9KD8GV', 144, 830866534, '2017-03-07', 'Finley', '2017-03-07', 'ObeisantCyandye', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Siescout@gmail.com', 'Skyla', '8rwpGGH6ZT', 469, 655849922, '2017-03-07', 'Long', '2017-03-07', 'Siescout', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Billowystein@gmail.com', 'Jayden', 'eAkvMaxRTp', 476, 591277798, '2017-03-07', 'Bond', '2017-03-07', 'Billowystein', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'B1lu7Sc0wy@gmail.com', 'Alessia', 'Bd34UDKreq', 938, 937286531, '2017-03-07', 'Witt', '2017-03-07', 'B1lu7Sc0wy', 3); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Scoutmio@gmail.com', 'Stuart', 'FBt8urRYny', 636, 113789575, '2017-03-07', 'Nieves', '2017-03-07', 'Scoutmio', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Poyassault@gmail.com', 'Aahil', 'fZs9jqZAup', 326, 157955080, '2017-03-07', 'Schroeder', '2017-03-07', 'Poyassault', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Mercifulzoi@gmail.com', 'Neve', 'Kke8e6XyMX', 142, 477383549, '2017-03-07', 'Merritt', '2017-03-07', 'Mercifulzoi', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Assaultovski@gmail.com', 'Ace', 'L9ZDQDATZL', 62, 871223177, '2017-03-07', 'Lester', '2017-03-07', 'Assaultovski', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Mercifulchenko@gmail.com', 'Rima', 'kwy73UnPaM', 948, 340249439, '2017-03-07', 'Chase', '2017-03-07', 'Mercifulchenko', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'fly1n680l7f34rl355@gmail.com', 'Jordanna', 'TCjKgn38xu', 935, 746974670, '2017-03-07', 'Connelly', '2017-03-07', 'fly1n680l7f34rl355', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'F34l7Fly55@gmail.com', 'Zakariyya', 'cNYDSZThfr', 359, 958142267, '2017-03-07', 'Cunningham', '2017-03-07', 'F34l7Fly55', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Flyingboltsan@gmail.com', 'Bhavik', '7vbvv9UwyQ', 244, 704499430, '2017-03-07', 'Watkins', '2017-03-07', 'Flyingboltsan', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Haefearless@gmail.com', 'Kylan', 'VMgPZXUZDu', 366, 26531188, '2017-03-07', 'Mcconnell', '2017-03-07', 'Haefearless', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Lilaxuy@gmail.com', 'Angharad', '7pQ9YkGFyx', 280, 850445890, '2017-03-07', 'Sheppard', '2017-03-07', 'Lilaxuy', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'BoolaLilsh@gmail.com', 'Diego', 'TJG4J2BGf9', 165, 776765306, '2017-03-07', 'Fletcher', '2017-03-07', 'BoolaLilsh', 7); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'MamwkSquth@gmail.com', 'Abdullahi', 'JLPmEVvCCv', 852, 595927318, '2017-03-07', 'Emery', '2017-03-07', 'MamwkSquth', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'WaffleSquawk@gmail.com', 'Faith', 'Qw89c8EjV6', 344, 319486130, '2017-03-07', 'Lane', '2017-03-07', 'WaffleSquawk', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Squawkun@gmail.com', 'Fatimah', 'VFV3wBnfZ2', 271, 626988329, '2017-03-07', 'Peacock', '2017-03-07', 'Squawkun', 7); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Mammothlitz@gmail.com', 'Rueben', 'VHUvzYcfQu', 264, 537337811, '2017-03-07', 'Crowther', '2017-03-07', 'Mammothlitz', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'TheSwelteringMammoth@gmail.com', 'Cobie', 'EhYCHuSP3L', 711, 181991012, '2017-03-07', 'Berry', '2017-03-07', 'TheSwelteringMammoth', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Holisticseo@gmail.com', 'Connor', 'ZEWVp2TDjQ', 13, 659017160, '2017-03-07', 'White', '2017-03-07', 'Holisticseo', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'NeedlesOfRascal@gmail.com', 'Jax', 'VQqruwMGTT', 332, 893346802, '2017-03-07', 'Mcfarland', '2017-03-07', 'NeedlesOfRascal', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Xoyneedles@gmail.com', 'Cayden', 'qcELAgXQ4w', 967, 406071437, '2017-03-07', 'Forrest', '2017-03-07', 'Xoyneedles', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Needlesdesu@gmail.com', 'Rafi', 'GJYfjQNjZj', 893, 904445482, '2017-03-07', 'Campbell', '2017-03-07', 'Needlesdesu', 7); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'BewilderedHolistic@gmail.com', 'Ferne', 'GATh2SRcqB', 733, 644281689, '2017-03-07', 'Calvert', '2017-03-07', 'BewilderedHolistic', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'H0l35N331c@gmail.com', 'Chad', 'e7e6XuPhmL', 398, 587719434, '2017-03-07', 'Dillon', '2017-03-07', 'H0l35N331c', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Cageystein@gmail.com', 'Madihah', 'YWUYTF6c6u', 903, 481884649, '2017-03-07', 'Burns', '2017-03-07', 'Cageystein', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'C46h4N473y@gmail.com', 'Tayah', 'E57u3MeegB', 417, 117749606, '2017-03-07', 'York', '2017-03-07', 'C46h4N473y', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Cageylitz@gmail.com', 'Suzanna', 'uP2RDyMQFB', 428, 193539044, '2017-03-07', 'Pham', '2017-03-07', 'Cageylitz', 3); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'GruntNatacha@gmail.com', 'Linda', '8UP2XcVLxP', 17, 403318944, '2017-03-07', 'Beltran', '2017-03-07', 'GruntNatacha', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'GrandioseCagey@gmail.com', 'Dorothy', 'z4zTHXu8zw', 634, 598942888, '2017-03-07', 'Millar', '2017-03-07', 'GrandioseCagey', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Caerfiza@gmail.com', 'Nel', 'qngwRSpvcB', 431, 132320008, '2017-03-07', 'Middleton', '2017-03-07', 'Caerfiza', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Loiteboa@gmail.com', 'Sharna', 'TmbP8ftQ9w', 163, 775007954, '2017-03-07', 'Adamson', '2017-03-07', 'Loiteboa', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'ElvisTheElfin@gmail.com', 'Audrey', 'SRPWewakfg', 910, 933422802, '2017-03-07', 'Mcfadden', '2017-03-07', 'ElvisTheElfin', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', '3lv15xen14l@gmail.com', 'Avleen', 'seUJrXe6mx', 387, 230497520, '2017-03-07', 'Small', '2017-03-07', '3lv15xen14l', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'XenisDaaer@gmail.com', 'Chase', 'tm76S4DcLK', 393, 908409080, '2017-03-07', 'Woodard', '2017-03-07', 'XenisDaaer', 3); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'FearlessNappy@gmail.com', 'Liyana', 'YGnxtE79tV', 64, 922033820, '2017-03-07', 'Burnett', '2017-03-07', 'FearlessNappy', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'curl1nn499y@gmail.com', 'Laurie', 'NaN6TStL6Sp', 909, 39079469, '2017-03-07', 'Serrano', '2017-03-07', 'curl1nn499y', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Nappystrom@gmail.com', 'Betty', 'aqCUvmtjR6s', 287, 740381335, '2017-03-07', 'Lowery', '2017-03-07', 'Nappystrom', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'SnowballDandelion@gmail.com', 'Cassie', '9AhAVRaVTrs', 889, 222639482, '2017-03-07', 'Puckett', '2017-03-07', 'SnowballDandelion', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Salopaer@gmail.com', 'Ailsa', 'BprTEDzUEjH', 996, 345912207, '2017-03-07', 'Solis', '2017-03-07', 'Salopaer', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'TencauOnus@gmail.com', 'Nakita', 'tnbMuMxDrKd', 770, 939470960, '2017-03-07', 'Hayward', '2017-03-07', 'TencauOnus', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'VonNondescript@gmail.com', 'Mujtaba', 'NHSGbPkufAC', 601, 482160081, '2017-03-07', 'Rose', '2017-03-07', 'VonNondescript', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Nondescriptlitz@gmail.com', 'Tim', 'uFN3cJnJ3Vu', 577, 807194788, '2017-03-07', 'Martins', '2017-03-07', 'Nondescriptlitz', 3); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Tiameval@gmail.com', 'Lynn', '9xsxQ5CwyE5', 490, 146368547, '2017-03-07', 'Curtis', '2017-03-07', 'Tiameval', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'TheBerserkPsychedelic@gmail.com', 'Phillipa', 'e3Cb5QyUscS', 372, 524931639, '2017-03-07', 'Potter', '2017-03-07', 'TheBerserkPsychedelic', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Qualovya@gmail.com', 'Huzaifah', '5A6maJHTUyY', 472, 245940384, '2017-03-07', 'Doyle', '2017-03-07', 'Qualovya', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Haplesstrom@gmail.com', 'Levi', 'D8udRdn7wNV', 752, 961666409, '2017-03-07', 'Bowden', '2017-03-07', 'Haplesstrom', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Wyumuowi@gmail.com', 'Kian', '7DaeYGjbbBm', 422, 619694089, '2017-03-07', 'Mcgee', '2017-03-07', 'Wyumuowi', 7); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Meowsan@gmail.com', 'Jaime', 'BjBUaMcwwrS', 786, 392623262, '2017-03-07', 'Ross', '2017-03-07', 'Meowsan', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Sugardesu@gmail.com', 'Priyanka', 'LQS8FUsR5gG', 676, 552833740, '2017-03-07', 'Noel', '2017-03-07', 'Sugardesu', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Nondescriptchenko@gmail.com', 'Anwar', 'qGaRg9EjLQJ', 57, 137556806, '2017-03-07', 'Sims', '2017-03-07', 'Nondescriptchenko', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Sieastel@gmail.com', 'Faizan', '59gjsXHbtMZ', 956, 164538288, '2017-03-07', 'Vega', '2017-03-07', 'Sieastel', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Nuogayha@gmail.com', 'Honor', 'KGW33GhYmDk', 733, 104866346, '2017-03-07', 'Ramsay', '2017-03-07', 'Nuogayha', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Miatoafe@gmail.com', 'Efan', 'VJPY7Kkytsd', 865, 297077055, '2017-03-07', 'Allman', '2017-03-07', 'Miatoafe', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Xuarpoer@gmail.com', 'Eshan', 'gGJEwrcehcw', 805, 995438888, '2017-03-07', 'Garrett', '2017-03-07', 'Xuarpoer', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', '4lyd4r57a7u35qu3@gmail.com', 'Abid', 'fQ7gpWwQRcn', 228, 785357087, '2017-03-07', 'Burke', '2017-03-07', '4lyd4r57a7u35qu3', 1); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Ispuelvi@gmail.com', 'Aron', 'rqL436wAP4v', 915, 170127572, '2017-03-07', 'Li', '2017-03-07', 'Ispuelvi', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Haplessmann@gmail.com', 'Barnaby', 'syjtzvGVUd5', 825, 235809100, '2017-03-07', 'Olsen', '2017-03-07', 'Haplessmann', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Tenuouspyo@gmail.com', 'Tasnia', 'Em2S9G76Z4u', 440, 434771602, '2017-03-07', 'Shah', '2017-03-07', 'Tenuouspyo', 7); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'TheDefectiveZazzy@gmail.com', 'Issa', 'GLHgqqwGhYG', 294, 693517825, '2017-03-07', 'Duarte', '2017-03-07', 'TheDefectiveZazzy', 6); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'MildredKenzi@gmail.com', 'Arsalan', '3HLw69eHQEC', 722, 246663763, '2017-03-07', 'Ortiz', '2017-03-07', 'MildredKenzi', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Kenzidesu@gmail.com', 'Virgil', '8Ap9qZxQnwQ', 237, 826503470, '2017-03-07', 'Ryder', '2017-03-07', 'Kenzidesu', 3); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'S744rAlyu3@gmail.com', 'Dolcie', 'BHpRe4jhSCh', 627, 96372061, '2017-03-07', 'Vargas', '2017-03-07', 'S744rAlyu3', 7); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'HystericalHarmonious@gmail.com', 'Saanvi', 'HL46wN4aBz2', 826, 506060098, '2017-03-07', 'Lees', '2017-03-07', 'HystericalHarmonious', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Vouzoetic@gmail.com', 'Lorcan', 'xUhrrh6q9as', 825, 68821714, '2017-03-07', 'Gilbert', '2017-03-07', 'Vouzoetic', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Zoeticstein@gmail.com', 'Vivian', 'rt2akJZCwHd', 432, 912057609, '2017-03-07', 'Ventura', '2017-03-07', 'Zoeticstein', 2); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'SplatOfOink@gmail.com', 'Hector', 'FMbKvWFr3jk', 466, 837543479, '2017-03-07', 'Hooper', '2017-03-07', 'SplatOfOink', 4); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'Splatkun@gmail.com', 'Kanye', '8D6ZPbyrhXV', 65, 542113105, '2017-03-07', 'Wilkinson', '2017-03-07', 'Splatkun', 5); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'd4nd3l10n20371c@gmail.com', 'Brandy', 'DSPuS76jFDS', 145, 595994742, '2017-03-07', 'Sawyer', '2017-03-07', 'd4nd3l10n20371c', 3); 
INSERT INTO experto (nombre_empresa, email, nombre, password, extension_telefono, num_telefono, fecha_registro, apellido, fecha_modificacion, username, specialization_id) VALUES ('evern', 'WistfulTrickle@gmail.com', 'Cassandra', 'Kdf74BTcNDJ', 666, 753538307, '2017-03-07', 'Espinosa', '2017-03-07', 'WistfulTrickle', 1); 
